,Titulo,Año de estreno - Año finalización,Generos
0,El año de mi graduación,2022,"Comedy, Drama"
1,Everything Everywhere All at Once,2022,"Action, Adventure, Comedy"
2,She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
3,La Ciudad Perdida,2022,"Action, Adventure, Comedy"
4,This is Us,2016–2022,"Comedy, Drama, Romance"
5,"Love, Death & Robots",2019– ,"Animation, Short, Action"
6,Chip y Dale: Al rescate,2022,"Animation, Adventure, Comedy"
7,El Pentavirato,2022,Comedy
8,Barry,2018– ,"Action, Comedy, Crime"
9,The Flight Attendant,2020– ,"Comedy, Drama, Mystery"
10,Los Tipos Malos,2022,"Animation, Adventure, Comedy"
11,Derry Girls,2018–2022,Comedy
12,Ghostbusters: El Legado,2021,"Adventure, Comedy, Fantasy"
13,The Office,2005–2013,Comedy
14,Hacks,2021– ,"Comedy, Drama"
15,Atlanta,2016–2023,"Comedy, Drama, Music"
16,Sonic 2: La Película,2022,"Action, Adventure, Comedy"
17,Un maridaje perfecto,2022,"Comedy, Romance"
18,The Umbrella Academy,2019– ,"Action, Adventure, Comedy"
19,How I Met Your Father,2022– ,"Comedy, Drama"
20,Workin' Moms,2017– ,"Comedy, Drama"
21,Clark,2022,"Action, Comedy, Crime"
22,El Peso Del Talento,2022,"Action, Comedy, Crime"
23,Grace and Frankie,2015–2022,Comedy
24,Diario de un seductor,2011,"Comedy, Drama"
25,Ersan Kuneri,2022– ,Comedy
26,Friends,1994–2004,"Comedy, Romance"
27,El Valet,2022,"Comedy, Romance"
28,Young Sheldon,2017– ,Comedy
29,The Big Bang Theory,2007–2019,"Comedy, Romance"
30,Seinfeld,1989–1998,Comedy
31,Modern Family,2009–2020,"Comedy, Drama, Romance"
32,Ted Lasso,2020– ,"Comedy, Drama, Sport"
33,One Piece: Wan pîsu,1999– ,"Animation, Action, Adventure"
34,WandaVision,2021,"Action, Comedy, Drama"
35,Sex Education,2019– ,"Comedy, Drama"
36,Nuestra Bandera de Muerte,2022– ,"Action, Adventure, Biography"
37,Muñeca rusa,2019– ,"Comedy, Drama, Mystery"
38,Siempre hay sol en Filadelfia,2005– ,Comedy
39,Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama"
40,Hustle,2022,"Comedy, Drama, Sport"
41,Brian and Charles,2022,Comedy
42,Suits,2011–2019,"Comedy, Drama"
43,How I Met Your Mother: Como conocí a tu madre,2005–2014,"Comedy, Romance"
44,Padre de familia,1999– ,"Animation, Comedy"
45,Los Caballeros,2019,"Action, Comedy, Crime"
46,Los Simpson,1989– ,"Animation, Comedy"
47,Buena Suerte Leo Grande,2022,"Comedy, Drama"
48,Jayeshbhai Jordaar,2022,"Comedy, Drama"
49,Rick & Morty,2013– ,"Animation, Adventure, Comedy"
50,Brooklyn Nine-Nine,2013–2021,"Comedy, Crime"
51,Shameless,2011–2021,"Comedy, Drama"
52,Castle,2009–2016,"Comedy, Crime, Drama"
53,Made for Love,2021– ,"Comedy, Drama, Sci-Fi"
54,Licorice Pizza,2021,"Comedy, Drama, Romance"
55,Good Mourning,I) (2022,Comedy
56,The Kids in the Hall,1988–2021,Comedy
57,Sing 2: ¡Ven Y Canta De Nuevo!,2021,"Animation, Adventure, Comedy"
58,Panchayat,2020– ,"Comedy, Drama"
59,El proyecto Adam,2022,"Action, Adventure, Comedy"
60,Bros,2022,"Comedy, Romance"
61,Dog: Un Viaje Salvaje,I) (2022,"Comedy, Drama"
62,Encanto,2021,"Animation, Comedy, Family"
63,Volviéndose rojo,2022,"Animation, Adventure, Comedy"
64,Community,2009–2015,Comedy
65,Barbie,2023,"Adventure, Comedy, Fantasy"
66,Death in Paradise,2011– ,"Comedy, Crime, Drama"
67,Only Murders in the Building,2021– ,"Comedy, Crime, Drama"
68,Sneakerella,2022,"Comedy, Family, Musical"
69,Spy x Family,2022– ,"Animation, Action, Comedy"
70,Los Chicos del Pasillo,2022– ,Comedy
71,A Million Little Things,2018– ,"Comedy, Drama, Romance"
72,The Orville,2017– ,"Adventure, Comedy, Drama"
73,CODA: Señales Del Corazón,2021,"Comedy, Drama, Music"
74,Los Goldberg,2013– ,Comedy
75,Bob's Burgers,2011– ,"Animation, Comedy"
76,Bones,2005–2017,"Comedy, Crime, Drama"
77,Modern Love: Mumbai,2022– ,"Comedy, Romance"
78,Bhool Bhulaiyaa 2,2022,"Comedy, Horror"
79,El Escuadrón Suicida,2021,"Action, Adventure, Comedy"
80,The Worst Person in the World,2021,"Comedy, Drama, Romance"
81,Bull,2016–2022,"Comedy, Crime, Drama"
82,Sex and the City,1998–2004,"Comedy, Drama, Romance"
83,Free Guy: Tomando El Control,2021,"Action, Adventure, Comedy"
84,Sonic. la película,2020,"Action, Adventure, Comedy"
85,Two and a Half Men,2003–2015,"Comedy, Romance"
86,Schitt's Creek,2015–2020,Comedy
87,La maravillosa Sra. Maisel,2017– ,"Comedy, Drama"
88,La Agencia,2022– ,Comedy
89,Parks and Recreation,2009–2015,Comedy
90,El lobo de Wall Street,2013,"Biography, Comedy, Crime"
91,Shoresy,2022– ,"Comedy, Sport"
92,Gilmore Girls,2000–2007,"Comedy, Drama"
93,Peacemaker,2022– ,"Action, Adventure, Comedy"
94,Incompatibles 2,2022,"Action, Comedy, Crime"
95,No miren arriba,2021,"Comedy, Drama, Sci-Fi"
96,New Girl,2011–2018,"Comedy, Romance"
97,Había una vez en Hollywood,2019,"Comedy, Drama"
98,Te amaré por siempre,2009,"Comedy, Drama, Fantasy"
99,Entre navajas y secretos,2019,"Comedy, Crime, Drama"
100,Orange Is the New Black,2013–2019,"Comedy, Crime, Drama"
101,South Park,1997– ,"Animation, Comedy"
102,Cobra Kai,2018– ,"Action, Comedy, Drama"
103,Charlie y la fábrica de chocolate,2005,"Adventure, Comedy, Family"
104,What We Do in the Shadows,2019– ,"Comedy, Fantasy, Horror"
105,Family Camp,2022,"Comedy, Family"
106,Fresh,2022,"Comedy, Horror, Thriller"
107,Glee,2009–2015,"Comedy, Drama, Music"
108,Los cazafantasmas,1984,"Action, Comedy, Fantasy"
109,Parásitos,2019,"Comedy, Drama, Thriller"
110,El show de Larry David,2000– ,Comedy
111,Ash contra el mal,2015–2018,"Action, Comedy, Fantasy"
112,Superstore,2015–2021,Comedy
113,Tierra de zombies,2009,"Action, Comedy, Horror"
114,Jackass 4.5,2022 Video,"Documentary, Action, Comedy"
115,Magic Mike XXL,2015,"Comedy, Drama, Music"
116,Metal Lords,2022,"Comedy, Music"
117,La familia perfecta,2021,Comedy
118,Happy Gilmore,1996,"Comedy, Sport"
119,Sacrificios de familia,2003–2019,Comedy
120,On the Count of Three,2021,"Comedy, Drama"
121,Minx,2022– ,Comedy
122,Ghosts,2021– ,"Comedy, Fantasy"
123,Scrubs,2001–2010,"Comedy, Drama"
124,Thor: Ragnarok,2017,"Action, Adventure, Comedy"
125,Frasier,1993–2004,Comedy
126,Rebeldes y confundidos,1993,Comedy
127,Terror bajo la tierra,1990,"Comedy, Horror"
128,En un lugar en Canadá,I) (2014,"Comedy, Horror"
129,Ni idea,1995,"Comedy, Romance"
130,Notas perfectas,2012,"Comedy, Music, Romance"
131,Piña express,2008,"Action, Comedy, Crime"
