Titulo,Año de estreno - Año finalización,Generos
El año de mi graduación,2022,"Comedy, Drama"
Everything Everywhere All at Once,2022,"Action, Adventure, Comedy"
She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
La Ciudad Perdida,2022,"Action, Adventure, Comedy"
This is Us,2016–2022,"Comedy, Drama, Romance"
"Love, Death & Robots",2019– ,"Animation, Short, Action"
Chip y Dale: Al rescate,2022,"Animation, Adventure, Comedy"
El Pentavirato,2022,Comedy
Barry,2018– ,"Action, Comedy, Crime"
The Flight Attendant,2020– ,"Comedy, Drama, Mystery"
Los Tipos Malos,2022,"Animation, Adventure, Comedy"
Derry Girls,2018–2022,Comedy
Ghostbusters: El Legado,2021,"Adventure, Comedy, Fantasy"
The Office,2005–2013,Comedy
Hacks,2021– ,"Comedy, Drama"
Atlanta,2016–2023,"Comedy, Drama, Music"
Sonic 2: La Película,2022,"Action, Adventure, Comedy"
Un maridaje perfecto,2022,"Comedy, Romance"
The Umbrella Academy,2019– ,"Action, Adventure, Comedy"
How I Met Your Father,2022– ,"Comedy, Drama"
Workin' Moms,2017– ,"Comedy, Drama"
Clark,2022,"Action, Comedy, Crime"
El Peso Del Talento,2022,"Action, Comedy, Crime"
Grace and Frankie,2015–2022,Comedy
Diario de un seductor,2011,"Comedy, Drama"
Ersan Kuneri,2022– ,Comedy
Friends,1994–2004,"Comedy, Romance"
El Valet,2022,"Comedy, Romance"
Young Sheldon,2017– ,Comedy
The Big Bang Theory,2007–2019,"Comedy, Romance"
Seinfeld,1989–1998,Comedy
Modern Family,2009–2020,"Comedy, Drama, Romance"
Ted Lasso,2020– ,"Comedy, Drama, Sport"
One Piece: Wan pîsu,1999– ,"Animation, Action, Adventure"
WandaVision,2021,"Action, Comedy, Drama"
Sex Education,2019– ,"Comedy, Drama"
Nuestra Bandera de Muerte,2022– ,"Action, Adventure, Biography"
Muñeca rusa,2019– ,"Comedy, Drama, Mystery"
Siempre hay sol en Filadelfia,2005– ,Comedy
Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama"
Hustle,2022,"Comedy, Drama, Sport"
Brian and Charles,2022,Comedy
Suits,2011–2019,"Comedy, Drama"
How I Met Your Mother: Como conocí a tu madre,2005–2014,"Comedy, Romance"
Padre de familia,1999– ,"Animation, Comedy"
Los Caballeros,2019,"Action, Comedy, Crime"
Los Simpson,1989– ,"Animation, Comedy"
Buena Suerte Leo Grande,2022,"Comedy, Drama"
Jayeshbhai Jordaar,2022,"Comedy, Drama"
Rick & Morty,2013– ,"Animation, Adventure, Comedy"
Brooklyn Nine-Nine,2013–2021,"Comedy, Crime"
Shameless,2011–2021,"Comedy, Drama"
Castle,2009–2016,"Comedy, Crime, Drama"
Made for Love,2021– ,"Comedy, Drama, Sci-Fi"
Licorice Pizza,2021,"Comedy, Drama, Romance"
Good Mourning,I) (2022,Comedy
The Kids in the Hall,1988–2021,Comedy
Sing 2: ¡Ven Y Canta De Nuevo!,2021,"Animation, Adventure, Comedy"
Panchayat,2020– ,"Comedy, Drama"
El proyecto Adam,2022,"Action, Adventure, Comedy"
Bros,2022,"Comedy, Romance"
Dog: Un Viaje Salvaje,I) (2022,"Comedy, Drama"
Encanto,2021,"Animation, Comedy, Family"
Volviéndose rojo,2022,"Animation, Adventure, Comedy"
Community,2009–2015,Comedy
Barbie,2023,"Adventure, Comedy, Fantasy"
Death in Paradise,2011– ,"Comedy, Crime, Drama"
Only Murders in the Building,2021– ,"Comedy, Crime, Drama"
Sneakerella,2022,"Comedy, Family, Musical"
Spy x Family,2022– ,"Animation, Action, Comedy"
Los Chicos del Pasillo,2022– ,Comedy
A Million Little Things,2018– ,"Comedy, Drama, Romance"
